Genres,Sentiment
heroism,0.8934
and swordplay,0.8934
Historical battles and epic heroism,0.8934
Fantasy adventure,0.8934
Epic history and literature,0.8934
Captivating vision and Shakespearean drama,0.8934
Epic heroes,0.6669
Show Allâ€¦,0.6669
Epic adventure and breathtaking battles,0.4404
Superheroes in action-packed battles with villains,0.4404
Music,0.185514
Romance,0.18197042971595048
Family,0.13132715877437326
Documentary,0.12467883720930233
Unknown,0.04066666666666668
Comedy,0.032644611186903136
Animation,0.015524528301886793
Fantasy,-0.08426502512562814
Adventure,-0.09815821823204421
Drama,-0.10957835144927537
History,-0.12123458980044347
TV Movie,-0.13761809523809523
Science Fiction,-0.24036569169960473
War,-0.2721182825484765
Action,-0.29825115718418516
Western,-0.3254390070921986
Crime,-0.3604961260669731
Mystery,-0.388811616766467
Thriller,-0.3946810553633218
Horror,-0.4154913355408389
